index,Invoice total by day,Vendor ID,Vendor,Geo Region Group
2022-09-25,0.0,1001,A,Caribbean
2022-09-26,4864.5,1001,A,Caribbean
2022-09-27,10502.56,1001,A,Caribbean
2022-09-28,237.5,1001,A,Caribbean
2022-09-29,0.0,1001,A,Caribbean
2022-09-30,17847.0,1001,A,Caribbean
2022-10-01,0.0,1001,A,Caribbean
2022-10-02,0.0,1001,A,Caribbean
2022-10-03,0.0,1001,A,Caribbean
2022-10-04,0.0,1001,A,Caribbean
2022-10-05,1349.0,1001,A,Caribbean
2022-10-06,26687.97,1001,A,Caribbean
2022-10-07,0.0,1001,A,Caribbean
2022-10-08,0.0,1001,A,Caribbean
2022-10-09,0.0,1001,A,Caribbean
2022-10-10,8186.0,1001,A,Caribbean
2022-10-11,14639.33,1001,A,Caribbean
2022-10-12,0.0,1001,A,Caribbean
2022-10-13,8574.34,1001,A,Caribbean
2022-10-14,4286.5,1001,A,Caribbean
2022-10-15,0.0,1001,A,Caribbean
2022-10-16,0.0,1001,A,Caribbean
2022-10-17,8752.0,1001,A,Caribbean
2022-10-18,3082.0,1001,A,Caribbean
2022-10-19,0.0,1001,A,Caribbean
2022-10-20,7947.5,1001,A,Caribbean
2022-10-21,5036.0,1001,A,Caribbean
2022-10-22,0.0,1001,A,Caribbean
2022-10-23,0.0,1001,A,Caribbean
2022-10-24,0.0,1001,A,Caribbean
2022-10-25,0.0,1001,A,Caribbean
2022-10-26,0.0,1001,A,Caribbean
2022-10-27,0.0,1001,A,Caribbean
2022-10-28,0.0,1001,A,Caribbean
2022-10-29,0.0,1001,A,Caribbean
2022-10-30,0.0,1001,A,Caribbean
2022-10-31,28152.36,1001,A,Caribbean
2022-11-01,26964.04,1001,A,Caribbean
2022-11-02,0.0,1001,A,Caribbean
2022-11-03,0.0,1001,A,Caribbean
2022-11-04,0.0,1001,A,Caribbean
2022-11-05,1981.38,1001,A,Caribbean
2022-11-06,0.0,1001,A,Caribbean
2022-11-07,0.0,1001,A,Caribbean
2022-11-08,0.0,1001,A,Caribbean
2022-11-09,0.0,1001,A,Caribbean
2022-11-10,0.0,1001,A,Caribbean
2022-11-11,1543.0,1001,A,Caribbean
2022-11-12,0.0,1001,A,Caribbean
2022-11-13,0.0,1001,A,Caribbean
2022-11-14,11667.43,1001,A,Caribbean
2022-11-15,4889.0,1001,A,Caribbean
2022-11-16,0.0,1001,A,Caribbean
2022-11-17,4949.5,1001,A,Caribbean
2022-11-18,0.0,1001,A,Caribbean
2022-11-19,0.0,1001,A,Caribbean
2022-11-20,0.0,1001,A,Caribbean
2022-11-21,14726.75,1001,A,Caribbean
2022-11-22,25692.39,1001,A,Caribbean
2022-11-23,6486.0,1001,A,Caribbean
2022-11-24,0.0,1001,A,Caribbean
2022-11-25,0.0,1001,A,Caribbean
2022-11-26,0.0,1001,A,Caribbean
2022-11-27,0.0,1001,A,Caribbean
2022-11-28,0.0,1001,A,Caribbean
2022-11-29,10308.17,1001,A,Caribbean
2022-11-30,849.5,1001,A,Caribbean
2022-12-01,2911.16,1001,A,Caribbean
2022-12-02,7033.52,1001,A,Caribbean
2022-12-03,0.0,1001,A,Caribbean
2022-12-04,0.0,1001,A,Caribbean
2022-12-05,0.0,1001,A,Caribbean
2022-12-06,0.0,1001,A,Caribbean
2022-12-07,0.0,1001,A,Caribbean
2022-12-08,0.0,1001,A,Caribbean
2022-12-09,23429.5,1001,A,Caribbean
2022-12-10,0.0,1001,A,Caribbean
2022-12-11,0.0,1001,A,Caribbean
2022-12-12,18847.0,1001,A,Caribbean
2022-12-13,0.0,1001,A,Caribbean
2022-12-14,4615.38,1001,A,Caribbean
2022-12-15,0.0,1001,A,Caribbean
2022-12-16,12204.75,1001,A,Caribbean
2022-12-17,0.0,1001,A,Caribbean
2022-12-18,0.0,1001,A,Caribbean
2022-12-19,16788.45,1001,A,Caribbean
2022-12-20,0.0,1001,A,Caribbean
2022-12-21,20759.15,1001,A,Caribbean
2022-12-22,34287.39,1001,A,Caribbean
2022-12-23,0.0,1001,A,Caribbean
2022-12-24,0.0,1001,A,Caribbean
2022-12-25,0.0,1001,A,Caribbean
2022-12-26,0.0,1001,A,Caribbean
2022-12-27,0.0,1001,A,Caribbean
2022-12-28,0.0,1001,A,Caribbean
2022-12-29,0.0,1001,A,Caribbean
2022-12-30,5208.75,1001,A,Caribbean
2022-12-31,0.0,1001,A,Caribbean
2023-01-01,0.0,1001,A,Caribbean
2023-01-02,0.0,1001,A,Caribbean
2023-01-03,0.0,1001,A,Caribbean
2023-01-04,0.0,1001,A,Caribbean
2023-01-05,0.0,1001,A,Caribbean
2023-01-06,0.0,1001,A,Caribbean
2023-01-07,0.0,1001,A,Caribbean
2023-01-08,0.0,1001,A,Caribbean
2023-01-09,0.0,1001,A,Caribbean
2023-01-10,0.0,1001,A,Caribbean
2023-01-11,30444.5,1001,A,Caribbean
2023-01-12,46044.72,1001,A,Caribbean
2023-01-13,13253.0,1001,A,Caribbean
2023-01-14,0.0,1001,A,Caribbean
2023-01-15,0.0,1001,A,Caribbean
2023-01-16,14595.59,1001,A,Caribbean
2023-01-17,3491.5,1001,A,Caribbean
2023-01-18,5122.0,1001,A,Caribbean
2023-01-19,2417.75,1001,A,Caribbean
2023-01-20,4842.21,1001,A,Caribbean
2023-01-21,0.0,1001,A,Caribbean
2023-01-22,0.0,1001,A,Caribbean
2023-01-23,0.0,1001,A,Caribbean
2023-01-24,2264.0,1001,A,Caribbean
2023-01-25,10800.5,1001,A,Caribbean
2023-01-26,0.0,1001,A,Caribbean
2023-01-27,2239.5,1001,A,Caribbean
2023-01-28,0.0,1001,A,Caribbean
2023-01-29,0.0,1001,A,Caribbean
2023-01-30,17536.25,1001,A,Caribbean
2023-01-31,0.0,1001,A,Caribbean
2023-02-01,1191.5,1001,A,Caribbean
2023-02-02,8306.08,1001,A,Caribbean
2023-02-03,12133.35,1001,A,Caribbean
2023-02-04,0.0,1001,A,Caribbean
2023-02-05,0.0,1001,A,Caribbean
2023-02-06,2924.0,1001,A,Caribbean
2023-02-07,41421.3,1001,A,Caribbean
2023-02-08,0.0,1001,A,Caribbean
2023-02-09,10805.0,1001,A,Caribbean
2023-02-10,0.0,1001,A,Caribbean
2023-02-11,0.0,1001,A,Caribbean
2023-02-12,0.0,1001,A,Caribbean
2023-02-13,0.0,1001,A,Caribbean
2023-02-14,0.0,1001,A,Caribbean
2023-02-15,0.0,1001,A,Caribbean
2023-02-16,0.0,1001,A,Caribbean
2023-02-17,0.0,1001,A,Caribbean
2023-02-18,0.0,1001,A,Caribbean
2023-02-19,0.0,1001,A,Caribbean
2023-02-20,0.0,1001,A,Caribbean
2023-02-21,0.0,1001,A,Caribbean
2023-02-22,1331.2,1001,A,Caribbean
2023-02-23,0.0,1001,A,Caribbean
2023-02-24,0.0,1001,A,Caribbean
2023-02-25,0.0,1001,A,Caribbean
2023-02-26,6610.32,1001,A,Caribbean
2023-02-27,0.0,1001,A,Caribbean
2023-02-28,9300.0,1001,A,Caribbean
2023-03-01,0.0,1001,A,Caribbean
2023-03-02,0.0,1001,A,Caribbean
2023-03-03,6175.0,1001,A,Caribbean
2023-03-04,0.0,1001,A,Caribbean
2023-03-05,0.0,1001,A,Caribbean
2023-03-06,0.0,1001,A,Caribbean
2023-03-07,9677.0,1001,A,Caribbean
2023-03-08,2809.0,1001,A,Caribbean
2023-03-09,6279.25,1001,A,Caribbean
2023-03-10,33008.87,1001,A,Caribbean
2023-03-11,0.0,1001,A,Caribbean
2023-03-12,0.0,1001,A,Caribbean
